id,new_pet_id,"DOTT_No",Pet_ID,"UUID",Major,Minor,"Remark",Status,"Create_Date","Last_Modify_Date",Modified_By
1,NULL,"D00-10101-10151",NULL,"eab22365-4789-6541-2365-478965412365",101,151,NULL,1,"2015-07-20 16:17:42","2015-07-20 16:17:42",2
2,1091,"D00-10101-10152",11137,"eab22365-4789-6541-2365-478965412365",101,152,NULL,1,"2015-07-20 16:17:42","2015-09-06 05:26:08",10912
3,NULL,"D00-10101-10153",NULL,"eab22365-4789-6541-2365-478965412365",101,153,NULL,1,"2015-07-20 16:17:42","2015-07-20 16:17:42",2
4,159,"D00-10101-10154",160,"eab22365-4789-6541-2365-478965412365",101,154,NULL,1,"2015-07-20 16:17:42","2015-07-24 22:52:14",153
5,254,"D00-10101-10155",266,"eab22365-4789-6541-2365-478965412365",101,155,NULL,1,"2015-07-20 16:17:42","2015-07-25 00:49:40",240
6,183,"D00-10101-10156",184,"eab22365-4789-6541-2365-478965412365",101,156,NULL,1,"2015-07-20 16:17:42","2015-09-22 20:13:41",169
7,NULL,"D00-10101-10157",NULL,"eab22365-4789-6541-2365-478965412365",101,157,NULL,1,"2015-07-20 16:17:42","2015-07-20 16:17:42",2
8,396,"D00-10101-10158",408,"eab22365-4789-6541-2365-478965412365",101,158,NULL,1,"2015-07-20 16:17:42","2015-07-26 20:43:02",382
9,267,"D00-10101-10159",279,"eab22365-4789-6541-2365-478965412365",101,159,NULL,1,"2015-07-20 16:17:42","2015-07-25 10:18:32",250
10,NULL,"D00-10101-10160",NULL,"eab22365-4789-6541-2365-478965412365",101,160,NULL,1,"2015-07-20 16:17:42","2015-07-28 18:56:35",120
11,392,"D00-10101-10161",404,"eab22365-4789-6541-2365-478965412365",101,161,NULL,1,"2015-07-20 16:17:42","2015-07-26 20:42:50",382
12,119,"D00-10101-10162",120,"eab22365-4789-6541-2365-478965412365",101,162,NULL,1,"2015-07-20 16:17:42","2015-07-29 15:56:47",117
13,184,"D00-10101-10163",185,"eab22365-4789-6541-2365-478965412365",101,163,NULL,1,"2015-07-20 16:17:42","2015-09-22 20:15:54",169
14,225,"D00-10101-10164",226,"eab22365-4789-6541-2365-478965412365",101,164,NULL,1,"2015-07-20 16:17:42","2015-07-24 23:37:21",197
15,NULL,"D00-10101-10165",NULL,"eab22365-4789-6541-2365-478965412365",101,165,NULL,1,"2015-07-20 16:17:42","2015-07-20 16:17:42",2
16,836,"D00-10101-10166",10839,"eab22365-4789-6541-2365-478965412365",101,166,NULL,1,"2015-07-20 16:17:42","2015-08-14 20:54:28",10739
17,NULL,"D00-10101-10167",NULL,"eab22365-4789-6541-2365-478965412365",101,167,NULL,1,"2015-07-20 16:17:42","2015-07-20 16:17:42",2
18,167,"D00-10101-10168",168,"eab22365-4789-6541-2365-478965412365",101,168,NULL,1,"2015-07-20 16:17:42","2015-07-28 19:07:25",120
19,NULL,"D00-10101-10169",NULL,"eab22365-4789-6541-2365-478965412365",101,169,NULL,1,"2015-07-20 16:17:42","2015-07-27 22:53:37",206
20,NULL,"D00-10101-10170",NULL,"eab22365-4789-6541-2365-478965412365",101,170,NULL,1,"2015-07-20 16:17:42","2015-07-20 16:17:42",2
21,NULL,"D00-10101-10171",NULL,"eab22365-4789-6541-2365-478965412365",101,171,NULL,1,"2015-07-20 16:17:42","2015-07-20 16:17:42",2
22,229,"D00-10101-10172",230,"eab22365-4789-6541-2365-478965412365",101,172,NULL,1,"2015-07-20 16:17:42","2015-07-24 20:40:04",215
23,NULL,"D00-10101-10173",NULL,"eab22365-4789-6541-2365-478965412365",101,173,NULL,1,"2015-07-20 16:17:42","2015-07-20 16:17:42",2
24,1144,"D00-10101-10174",11191,"eab22365-4789-6541-2365-478965412365",101,174,NULL,1,"2015-07-20 16:17:42","2015-09-09 21:00:21",10953
25,NULL,"D00-10101-10175",NULL,"eab22365-4789-6541-2365-478965412365",101,175,NULL,1,"2015-07-20 16:17:42","2015-07-20 16:17:42",2
26,NULL,"D00-10101-10176",NULL,"eab22365-4789-6541-2365-478965412365",101,176,NULL,1,"2015-07-20 16:17:42","2015-07-20 16:17:42",2
27,NULL,"D00-10101-10177",NULL,"eab22365-4789-6541-2365-478965412365",101,177,NULL,1,"2015-07-20 16:17:42","2015-07-20 16:17:42",2
28,NULL,"D00-10101-10178",NULL,"eab22365-4789-6541-2365-478965412365",101,178,NULL,1,"2015-07-20 16:17:42","2015-07-20 16:17:42",2
29,161,"D00-10101-10179",162,"eab22365-4789-6541-2365-478965412365",101,179,NULL,1,"2015-07-20 16:17:42","2015-07-31 22:37:53",155
30,321,"D00-10101-10180",333,"eab22365-4789-6541-2365-478965412365",101,180,NULL,1,"2015-07-20 16:17:42","2015-08-05 14:19:17",303
31,653,"D00-10101-10181",671,"eab22365-4789-6541-2365-478965412365",101,181,NULL,1,"2015-07-20 16:17:42","2015-08-01 17:35:43",586
32,632,"D00-10101-10182",650,"eab22365-4789-6541-2365-478965412365",101,182,NULL,1,"2015-07-20 16:17:42","2015-07-31 22:27:11",505
33,NULL,"D00-10101-10183",NULL,"eab22365-4789-6541-2365-478965412365",101,183,NULL,1,"2015-07-20 16:17:42","2015-07-20 16:17:42",2
34,812,"D00-10101-10184",832,"eab22365-4789-6541-2365-478965412365",101,184,NULL,1,"2015-07-20 16:17:42","2015-08-12 03:53:27",722
35,811,"D00-10101-10185",831,"eab22365-4789-6541-2365-478965412365",101,185,NULL,1,"2015-07-20 16:17:42","2015-08-12 03:44:18",722
36,NULL,"D00-10101-10186",NULL,"eab22365-4789-6541-2365-478965412365",101,186,NULL,1,"2015-07-20 16:17:42","2015-07-20 16:17:42",2
37,NULL,"D00-10101-10187",NULL,"eab22365-4789-6541-2365-478965412365",101,187,NULL,1,"2015-07-20 16:17:42","2015-07-20 16:17:42",2
38,NULL,"D00-10101-10188",NULL,"eab22365-4789-6541-2365-478965412365",101,188,NULL,1,"2015-07-20 16:17:42","2015-07-20 16:17:42",2
39,1017,"D00-10101-10189",11058,"eab22365-4789-6541-2365-478965412365",101,189,NULL,1,"2015-07-20 16:17:42","2015-09-01 15:20:36",10825
40,224,"D00-10101-10190",225,"eab22365-4789-6541-2365-478965412365",101,190,NULL,1,"2015-07-20 16:17:42","2015-08-26 18:27:48",217
41,NULL,"D00-10101-10191",NULL,"eab22365-4789-6541-2365-478965412365",101,191,NULL,1,"2015-07-20 16:17:42","2015-07-20 16:17:42",2
42,497,"D00-10101-10192",510,"eab22365-4789-6541-2365-478965412365",101,192,NULL,1,"2015-07-20 16:17:42","2015-07-28 02:24:45",459
43,NULL,"D00-10101-10193",NULL,"eab22365-4789-6541-2365-478965412365",101,193,NULL,1,"2015-07-20 16:17:42","2015-07-20 16:17:42",2
