id,new_lost_id,new_pet_id,new_user_id,new_device_id,"Seen_Date","Location_Addr","Location_Lng","Location_Lat",Proximity_Distance,"Create_Date"
1,1,61,28,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2,2,79,39,NULL,NULL,NULL,NULL,NULL,NULL,NULL
3,3,123,72,NULL,NULL,NULL,NULL,NULL,NULL,NULL
4,4,125,78,170,"2016-03-04 15:04:46","-","9.4891343","54.8059145",0,"2015-07-22 12:12:37"
5,5,283,224,849,"2015-09-09 20:01:11","-","114.251","22.30687",3,"2015-08-21 22:47:06"
6,6,367,187,671,"2015-09-09 20:01:10","-","114.251","22.30687",3,"2015-07-26 01:31:01"
7,7,499,410,NULL,NULL,NULL,NULL,NULL,NULL,NULL
8,8,682,560,NULL,NULL,NULL,NULL,NULL,NULL,NULL
9,9,734,599,NULL,NULL,NULL,NULL,NULL,NULL,NULL
10,10,770,622,NULL,NULL,NULL,NULL,NULL,NULL,NULL
11,11,693,569,921,"2015-09-09 20:01:14","-","114.251","22.30687",3,"2015-08-03 21:46:36"
12,12,788,639,NULL,NULL,NULL,NULL,NULL,NULL,NULL
13,13,919,706,NULL,NULL,NULL,NULL,NULL,NULL,NULL
14,14,279,205,890,"2015-09-09 20:01:12","-","114.251","22.30687",3,"2015-07-25 14:46:40"
15,15,634,521,NULL,NULL,NULL,NULL,NULL,NULL,NULL
16,16,148,98,79,"2015-09-18 13:33:00","-","114.2219","22.27813",3,"2015-07-23 14:44:56"
17,17,1090,837,NULL,NULL,NULL,NULL,NULL,NULL,NULL
18,18,1115,854,NULL,NULL,NULL,NULL,NULL,NULL,NULL
19,19,1112,851,NULL,NULL,NULL,NULL,NULL,NULL,NULL
20,20,1166,903,NULL,NULL,NULL,NULL,NULL,NULL,NULL
21,21,1231,851,NULL,NULL,NULL,NULL,NULL,NULL,NULL
22,22,1243,954,NULL,NULL,NULL,NULL,NULL,NULL,NULL
23,23,641,525,339,NULL,NULL,NULL,NULL,NULL,NULL
24,24,1048,796,1096,"2015-11-23 00:01:11","-","-117.86075592041016","33.97218704223633",20,"2015-09-04 05:23:13"
25,25,1323,1033,NULL,NULL,NULL,NULL,NULL,NULL,NULL
26,26,1363,1087,NULL,NULL,NULL,NULL,NULL,NULL,NULL
27,27,250,185,338,"2016-01-16 22:30:59","-","113.982066","22.409603",0,"2015-08-02 21:45:08"
28,28,1528,1289,NULL,NULL,NULL,NULL,NULL,NULL,NULL
29,29,1567,1331,NULL,NULL,NULL,NULL,NULL,NULL,NULL
30,30,1566,1331,NULL,NULL,NULL,NULL,NULL,NULL,NULL
31,31,80,2,NULL,NULL,NULL,NULL,NULL,NULL,NULL
32,32,91,2,NULL,NULL,NULL,NULL,NULL,NULL,NULL
33,33,90,2,NULL,NULL,NULL,NULL,NULL,NULL,NULL
34,34,89,2,NULL,NULL,NULL,NULL,NULL,NULL,NULL
35,35,86,2,75,"2015-10-19 21:03:19","-","114.11516571044922","22.37132453918457",4,"2015-07-24 14:02:58"
36,36,283,2,849,"2015-09-09 20:01:11","-","114.251","22.30687",3,"2015-08-21 22:47:06"
37,37,274,2,899,"2015-08-28 14:15:04","-","114.2135","22.33894",0,"2015-07-25 15:12:54"
38,38,276,2,882,"2015-10-11 12:26:25","-","114.211377","22.340614",0,"2015-07-25 15:10:53"
39,39,278,2,817,"2016-03-22 17:30:23","-","114.16779327392578","22.316688537597656",8,"2015-07-25 15:22:56"
40,40,315,2,850,"2015-12-01 14:11:02","-","114.220868","22.312943",0,"2015-12-01 14:08:42"
41,41,117,2,NULL,NULL,NULL,NULL,NULL,NULL,NULL
42,42,316,2,888,"2015-07-28 01:55:16","-","114.1942","22.33804",3,"2015-07-25 17:03:25"
43,43,352,2,572,"2015-08-11 22:52:28","-","114.17631530761719","22.3791446685791",5,"2015-07-25 23:09:31"
44,44,367,2,671,"2015-09-09 20:01:10","-","114.251","22.30687",3,"2015-07-26 01:31:01"
45,45,371,2,586,"2015-08-01 04:08:46","-","114.1969","22.38932",0,"2015-08-01 04:01:24"
46,46,145,2,NULL,NULL,NULL,NULL,NULL,NULL,NULL
47,47,145,2,NULL,NULL,NULL,NULL,NULL,NULL,NULL
48,48,145,2,NULL,NULL,NULL,NULL,NULL,NULL,NULL
49,49,146,2,NULL,NULL,NULL,NULL,NULL,NULL,NULL
50,50,445,2,471,"2015-07-27 15:26:45","-","114.0031","22.46301",1,"2015-07-27 15:26:45"
51,51,446,2,478,NULL,NULL,NULL,NULL,NULL,NULL
52,52,456,2,374,"2015-12-13 18:34:22","-","113.99736785888672","22.430696487426758",1,"2015-07-27 19:17:55"
53,53,349,2,132,"2015-08-02 17:46:56","-","114.010986328125","22.307353973388672",8,"2015-07-25 21:54:42"
54,54,470,2,44,"2015-09-13 18:11:22","-","114.137409","22.371847",0,"2015-07-27 22:46:09"
55,55,470,2,44,"2015-09-13 18:11:22","-","114.137409","22.371847",0,"2015-07-27 22:46:09"
56,56,470,2,44,"2015-09-13 18:11:22","-","114.137409","22.371847",0,"2015-07-27 22:46:09"
57,57,497,2,42,NULL,NULL,NULL,NULL,NULL,NULL
58,58,499,2,NULL,NULL,NULL,NULL,NULL,NULL,NULL
59,59,349,2,132,"2015-08-02 17:46:56","-","114.010986328125","22.307353973388672",8,"2015-07-25 21:54:42"
60,60,349,2,132,"2015-08-02 17:46:56","-","114.010986328125","22.307353973388672",8,"2015-07-25 21:54:42"
61,61,501,2,626,"2015-07-28 20:06:48","-","114.16669464111328","22.322345733642578",1,"2015-07-28 19:45:51"
62,62,546,2,614,"2015-09-21 00:56:59","-","114.188034","22.345444",0,"2015-09-15 00:47:38"
63,63,371,2,586,"2015-08-01 04:08:46","-","114.1969","22.38932",0,"2015-08-01 04:01:24"
64,64,452,2,889,"2016-02-28 15:58:05","-","113.99942016601563","22.45142364501953",4,"2015-07-27 17:08:57"
65,65,349,2,132,"2015-08-02 17:46:56","-","114.010986328125","22.307353973388672",8,"2015-07-25 21:54:42"
66,66,641,2,339,NULL,NULL,NULL,NULL,NULL,NULL
67,67,643,2,810,"2015-10-03 06:31:20","-","-2.1402933597564697","52.4986457824707",8,"2015-08-01 09:33:56"
68,68,452,2,889,"2016-02-28 15:58:05","-","113.99942016601563","22.45142364501953",4,"2015-07-27 17:08:57"
69,69,191,2,348,"2015-09-30 19:54:52","-","114.023123","22.296529",0,"2015-07-24 14:08:04"
70,70,667,2,372,"2015-08-02 12:06:23","-","114.2096176147461","22.331256866455078",4,"2015-08-02 10:28:32"
71,71,601,2,403,"2015-08-02 12:06:23","-","114.2096176147461","22.331256866455078",4,"2015-07-30 08:33:35"
72,72,667,2,372,"2015-08-02 12:06:23","-","114.2096176147461","22.331256866455078",4,"2015-08-02 10:28:32"
73,73,310,2,801,"2015-08-02 16:28:10","-","114.20707702636719","22.39727783203125",8,"2015-07-26 01:38:19"
74,74,232,2,109,"2015-09-03 21:06:45","-","114.1043","22.34906",1,"2015-07-24 21:11:14"
75,75,686,2,1529,"2015-08-06 19:29:35","-","114.22574615478516","22.423982620239258",2,"2015-08-03 14:57:07"
76,76,686,2,1529,"2015-08-06 19:29:35","-","114.22574615478516","22.423982620239258",2,"2015-08-03 14:57:07"
77,77,696,2,365,"2015-09-13 21:10:00","-","114.037056","22.444551",0,"2015-08-04 18:22:08"
78,78,696,2,365,"2015-09-13 21:10:00","-","114.037056","22.444551",0,"2015-08-04 18:22:08"
79,79,707,2,697,"2015-09-22 22:15:28","-","114.2174","22.38261",0,"2015-08-04 16:02:10"
80,80,679,2,903,NULL,NULL,NULL,NULL,NULL,NULL
81,81,452,2,889,"2016-02-28 15:58:05","-","113.99942016601563","22.45142364501953",4,"2015-07-27 17:08:57"
82,82,779,2,101,"2015-08-12 19:38:12","-","114.1405","22.38307",3,"2015-08-09 21:32:47"
83,83,328,2,694,"2015-07-25 19:37:01","-","113.9435043334961","22.286094665527344",5,"2015-07-25 19:32:34"
84,84,328,2,694,"2015-07-25 19:37:01","-","113.9435043334961","22.286094665527344",5,"2015-07-25 19:32:34"
85,85,328,2,694,"2015-07-25 19:37:01","-","113.9435043334961","22.286094665527344",5,"2015-07-25 19:32:34"
86,86,701,2,906,"2015-10-04 18:12:56","-","113.968402","22.407904",0,"2015-08-05 00:30:48"
87,87,784,2,1046,NULL,NULL,NULL,NULL,NULL,NULL
88,88,328,2,694,"2015-07-25 19:37:01","-","113.9435043334961","22.286094665527344",5,"2015-07-25 19:32:34"
89,89,829,2,1050,"2015-09-30 11:02:56","-","114.223506","22.311017",0,"2015-08-14 14:45:18"
90,90,830,2,1051,"2015-09-08 15:26:23","-","114.223348","22.311227",0,"2015-08-14 16:00:10"
91,91,829,2,1050,"2015-09-30 11:02:56","-","114.223506","22.311017",0,"2015-08-14 14:45:18"
92,92,830,2,1051,"2015-09-08 15:26:23","-","114.223348","22.311227",0,"2015-08-14 16:00:10"
93,93,830,2,1051,"2015-09-08 15:26:23","-","114.223348","22.311227",0,"2015-08-14 16:00:10"
94,94,830,2,1051,"2015-09-08 15:26:23","-","114.223348","22.311227",0,"2015-08-14 16:00:10"
95,95,59,2,869,"2016-02-22 13:10:03","-","114.0599161","22.3476554",0,"2015-07-28 10:33:26"
96,96,59,2,869,"2016-02-22 13:10:03","-","114.0599161","22.3476554",0,"2015-07-28 10:33:26"
97,97,852,2,NULL,NULL,NULL,NULL,NULL,NULL,NULL
98,98,319,2,392,"2015-12-15 20:33:21","-","114.12933349609375","22.502796173095703",5,"2015-08-16 18:53:14"
99,99,305,2,724,"2015-11-18 08:38:26","-","114.176025390625","22.33623504638672",9,"2015-07-25 23:20:37"
100,100,305,2,724,"2015-11-18 08:38:26","-","114.176025390625","22.33623504638672",9,"2015-07-25 23:20:37"
101,101,303,2,679,"2016-02-15 22:46:06","-","114.1314022","22.5014881",0,"2015-07-25 21:33:37"
102,102,854,2,NULL,NULL,NULL,NULL,NULL,NULL,NULL
103,103,919,2,NULL,NULL,NULL,NULL,NULL,NULL,NULL
104,104,328,2,694,"2015-07-25 19:37:01","-","113.9435043334961","22.286094665527344",5,"2015-07-25 19:32:34"
105,105,836,2,16,"2015-08-14 20:56:26","-","114.19339752197266","22.345558166503906",5,"2015-08-14 20:52:17"
106,106,974,2,NULL,NULL,NULL,NULL,NULL,NULL,NULL
107,107,984,2,1091,"2015-08-24 15:19:28","-","103.68383026123047","1.3427255153656006",1,"2015-08-24 12:56:43"
108,108,696,2,365,"2015-09-13 21:10:00","-","114.037056","22.444551",0,"2015-08-04 18:22:08"
109,109,1139,2,652,"2015-10-19 23:37:51","-","114.1721","22.3626",2,"2015-09-09 15:17:11"
110,110,1528,2,NULL,NULL,NULL,NULL,NULL,NULL,NULL
111,111,2893,1742,NULL,NULL,NULL,NULL,NULL,NULL,NULL
112,112,2900,1748,NULL,NULL,NULL,NULL,NULL,NULL,NULL
113,113,2860,1753,1631,"2016-01-11 06:39:20","-","-86.9456359","20.49608",0,"2016-01-11 13:38:00"
114,114,2907,1755,NULL,NULL,NULL,NULL,NULL,NULL,NULL
115,115,2914,1765,NULL,NULL,NULL,NULL,NULL,NULL,NULL
116,116,2925,1776,NULL,NULL,NULL,NULL,NULL,NULL,NULL
117,117,2930,1778,NULL,NULL,NULL,NULL,NULL,NULL,NULL
118,118,2934,1783,NULL,NULL,NULL,NULL,NULL,NULL,NULL
119,119,2965,1808,NULL,NULL,NULL,NULL,NULL,NULL,NULL
120,120,3003,1836,NULL,NULL,NULL,NULL,NULL,NULL,NULL
121,121,3004,1837,NULL,NULL,NULL,NULL,NULL,NULL,NULL
122,122,427,354,730,"2016-03-13 11:46:55","-","114.233418","22.473343",0,"2015-07-27 18:44:23"
123,123,3080,1891,1788,"2016-02-08 17:36:32","-","114.171844","22.277238",0,"2016-01-13 23:13:25"
124,124,3084,1897,NULL,NULL,NULL,NULL,NULL,NULL,NULL
125,125,3095,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
126,126,2977,1824,NULL,NULL,NULL,NULL,NULL,NULL,NULL
127,127,1013,742,1739,"2016-03-19 22:35:39","-","114.203404","22.335315",0,"2016-01-17 13:39:48"
128,128,3144,1922,NULL,NULL,NULL,NULL,NULL,NULL,NULL
129,129,3155,1930,NULL,NULL,NULL,NULL,NULL,NULL,NULL
130,130,687,564,275,NULL,NULL,NULL,NULL,NULL,NULL
131,131,3203,1972,1804,"2016-02-02 04:19:06","-","-0.2943335","51.5806945",0,"2016-02-02 04:32:42"
132,132,3215,816,NULL,NULL,NULL,NULL,NULL,NULL,NULL
133,133,2913,1763,2370,"2016-02-09 13:51:41","-","-118.620347","34.176976",0,"2016-02-01 08:53:13"
134,134,3251,2004,NULL,NULL,NULL,NULL,NULL,NULL,NULL
135,135,3255,2007,2350,"2016-03-02 14:29:42","-","150.877581","-33.865277",0,"2016-02-01 09:12:16"
136,136,1383,1111,NULL,NULL,NULL,NULL,NULL,NULL,NULL
137,137,3318,2048,2116,"2016-02-03 01:21:40","-","127.030220","37.507978",0,"2016-02-02 12:31:05"
138,138,1717,1405,NULL,NULL,NULL,NULL,NULL,NULL,NULL
139,139,3390,2113,2284,"2016-03-17 16:14:35","-","101.667650","3.168823",0,"2016-02-04 09:25:21"
140,140,3424,2127,1785,"2016-03-22 17:20:03","-","114.184789","22.268225",0,"2016-02-08 22:33:19"
141,141,3437,1759,1929,"2016-03-19 06:08:23","-","103.962844","1.372506",0,"2016-02-06 16:38:10"
142,142,1425,1166,2456,"2016-03-22 14:35:53","-","30.905193","50.644000",0,"2016-02-07 02:14:22"
143,143,1328,1043,2545,"2016-02-22 23:49:34","-","-79.624105","43.524539",0,"2016-02-07 23:43:43"
144,144,3468,2161,2203,"2016-02-09 01:31:43","-","-84.558363","39.103329",0,"2016-02-09 01:31:43"
145,145,3519,2202,NULL,NULL,NULL,NULL,NULL,NULL,NULL
146,146,3086,1897,2172,"2016-02-24 00:13:05","-","113.987759","22.421132",0,"2016-01-14 02:27:17"
147,147,3562,2222,NULL,NULL,NULL,NULL,NULL,NULL,NULL
148,148,1463,2228,2219,"2016-03-22 06:58:08","-","-85.138226","35.124829",0,"2016-02-10 22:08:51"
149,149,3571,2229,1754,"2016-02-13 05:52:13","-","-86.947786","34.421194",0,"2016-02-13 02:58:42"
150,150,3542,2210,1869,"2016-03-04 01:00:45","-","10.395648","42.746952",0,"2016-02-11 20:50:09"
151,151,3596,2246,3197,"2016-03-08 06:15:10","-","-73.760145","40.765400",0,"2016-02-14 08:18:50"
152,152,3604,2268,2206,"2016-03-20 11:00:34","-","114.043786","22.481512",0,"2016-02-14 15:47:42"
153,153,3625,2270,NULL,NULL,NULL,NULL,NULL,NULL,NULL
154,154,3586,2239,1846,"2016-02-18 11:27:02","-","-90.640026","38.550228",0,"2016-02-13 12:50:01"
155,155,3298,2037,2445,"2016-02-19 03:13:49","-","-117.246673","34.509596",0,"2016-02-11 12:40:54"
156,156,3529,2205,2606,"2016-02-16 16:00:58","-","-117.076546","33.520017",0,"2016-02-11 13:14:53"
157,157,3136,NULL,2145,"2016-03-22 10:49:42","-","114.2235152","22.3113553",0,"2016-03-22 10:50:12"
