Code,Name
001,Unknown
002,Mixed Breed
003,Shih Tzu
004,Shih Tzu Cross
005,Pekingese
006,Pekingese Cross
007,Pomeranian
008,Pomeranian Cross
009,Schnauzer
010,Schnauzer Cross
011,Cocker Spaniel
012,Cocker Spaniel Cross
013,Yorkshire Terrier
014,Yorkshire Terrier Cross
015,Golden Retriever
016,Golden Retriever Cross
017,Maltese
018,Maltese Cross
019,Pug
020,Pug Cross
021,Afghan
022,Afghan Cross
023,Airedale Terrier
024,Airedale Terrier Cross
025,Akita
026,Akita Cross
027,Alaskan Malamute
028,Alaskan Malamute Cross
029,American Cocker Spaniel
030,American Cocker Spaniel Cross
031,American Eskimo
032,Australian Cattle Dog
033,Australian Cattle Dog Cross
034,Australian Terrier
035,Australian Terrier Cross
036,Basset Hound
037,Basset Hound Cross
038,Beagle
039,Beagle Cross
040,Bearded Collie
041,Bearded Collie Cross
042,Bedlington Terrier
043,Bedlington Terrier Cross
044,Belgian Shepherd
045,Belgian Shepherd Cross
046,Bernese Mountain Dog
047,Bernese Mountain Dog Cross
048,Bichon Frise
049,Bichon Frise Cross
050,Border Collie
051,Border Collie Cross
052,Borzoi
053,Borzoi Cross
054,Boston Terrier
055,Boston Terrier Cross
056,Bouvier
057,Bouvier Cross
058,Boxer
059,Boxer Cross
060,Briard
061,Briard Cross
062,British Bulldog
063,British Bulldog Cross
064,Bull Dog
065,Bull Dog Cross
066,Bull Mastiff
067,Bull Mastiff Cross
068,Bull Terrier
069,Bull Terrier Cross
070,Cairn Terrier
071,Cairn Terrier Cross
072,Cardigan Corgi
073,Cardigan Corgi Cross
074,Cavalier King Charles
075,Cavalier King Charles Cross
076,Chihuahua
077,Chihuahua Cross
078,Chinese Crested
079,Chinese Crested Cross
080,Chow Chow
081,Chow Chow Cross
082,Collie
083,Collie Cross
084,Corgi
085,Corgi Cross
086,Dachshund Hound
087,Dachshund Hound Cross
088,Dachshund Wire Hair
089,Dalmation
090,Dalmation Cross
091,Deerhound
092,Deerhound Cross
093,Dobermann
094,Dobermann Cross
095,Elkhound
096,Elkhound Cross
097,English Setter
098,English Setter Cross
099,Flat Coat Retriever
100,Flat Coat Retriever Cross
101,Fox Terrier
102,Fox Terrier Cross
103,French Bull Dog
104,French Bull Dog Cross
105,German Shepherd Dog
106,German Shepherd Dog Cross
107,German Short Hair Pointer
108,German Short Hair Pointer Cross
109,Giant Schnauzer
110,Giant Schnauzer Cross
111,Gordon Setter
112,Gordon Setter Cross
113,Great Dane
114,Great Dane Cross
115,Greyhound
116,Greyhound Cross
117,Griffon
118,Griffon Cross
119,Hungarian Puli
120,Hungarian Puli Cross
121,Hungarian Vizsla
122,Hungarian Vizsla Cross
123,Husky
124,Husky Cross
125,Irish Setter
126,Irish Setter Cross
127,Irish Wolfhound
128,Irish Wolfhound Cross
129,Italian Greyhound
130,Italian Greyhound Cross
131,Jack Russell
132,Jack Russell Cross
133,Japanese Chin
134,Japanese Chin Cross
135,Japanese Shiba
136,Japanese Shiba Cross
137,Japanese Spitz
138,Japanese Spitz Cross
139,Keeshond
140,Keeshond Cross
141,Kelpie
142,Kelpie Cross
143,Kerry Blue Terrier
144,Kerry Blue Terrier Cross
145,Labrador
146,Labrador Cross
147,Lakeland Terrier
148,Lakeland Terrier Cross
149,Lhasa Apso
150,Lhasa Apso Cross
151,Mastiff
152,Mastiff Cross
153,Mini Pinscher
154,Mini Pinscher Cross
155,Miniature Schnauzer
156,Miniature Schnauzer Cross
157,Neopolitan Mastiff
158,Newfoundland
159,Newfoundland Cross
160,Old English Sheepdog
161,Old English Sheepdog Cross
162,Otter Hound
163,Otter Hound Cross
164,Papillon
165,Papillon Cross
166,Pee-A-Poo
167,Pembroke Corgi
168,Pembroke Corgi Cross
169,Pit Bull Terrier
170,Pit Bull Terrier Cross
171,Pointer
172,Pointer Cross
173,Poodle
174,Poodle Cross
175,Pyrenian Mountain
176,Pyrenian Mountain Cross
177,Red Setter
178,Red Setter Cross
179,Retriever
180,Retriever Cross
181,Rhodesian Ridgeback
182,Rhodesian Ridgeback Cross
183,Rottweiler
184,Rottweiler Cross
185,Rough Collie
186,Rough Collie Cross
187,Saint Bernard
188,Saint Bernard Cross
189,Saluki
190,Saluki Cross
191,Samoyed
192,Samoyed Cross
193,Scottish Terrier
194,Scottish Terrier Cross
195,Sealyham Terrier
196,Sealyham Terrier Cross
197,Sharpei
198,Sharpei Cross
199,Shetland Sheepdog
200,Shetland Sheepdog Cross
201,Shiba Inu
202,Shibu Inu Cross
203,Silky Terrier
204,Silky Terrier Cross
205,Spitz
206,Spitz Cross
207,Springer Spaniel
208,Springer Spaniel Cross
209,Staffordshire Bull Terrier
210,Staffordshire Bull Terrier Cross
211,Standard Poodle
212,Standard Poodle Cross
213,Terrier
214,Terrier Cross
215,Tibetan Terrier
216,Tibetan Terrier Cross
217,Toy Poodle
218,Toy Poodle Cross
219,Weimaraner
220,Weimaraner Cross
221,Welsh Pembroke Corgi
222,Welsh Pembroke Corgi Cross
223,West Highland White
224,West Highland White Cross
225,Whippet
226,Whippet Cross
227,Wolfhound
228,Wolfhound Cross
229,Tibetan Spaniel
